size_label,M,N,K,G,T,instance_id,instance_index,instance_seed,budget_sec,solver,solver_seed,objective,runtime_sec,greedy_obj,gap_vs_greedy_pct,iterations,generations,local_searches,local_search_time_sec,error
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,120.0,alns,0,1696.0,120.00540900300257,1728.0,0.0,16456,,,,
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,120.0,alns_tabu,0,1695.0,120.00132575500174,1728.0,0.0,11732,,22,29.969923160009785,
30x30,30,30,60,3,116,CMP_s300001_M30_N30_G3,1,300001,120.0,ga_tabu,0,1690.0,120.21971789200325,1728.0,0.0,,3,25,,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,10.0,alns,0,833.0,10.01927830700879,849.0,0.0,822,,,,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,10.0,alns_tabu,0,837.0,10.003148283998598,849.0,0.0,711,,2,2.5215188059955835,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,10.0,ga_tabu,0,816.0,10.166920706993551,849.0,0.0,,1,2,,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,60.0,alns,0,1051.0,60.012477812008,1085.0,0.0,6888,,,,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,60.0,alns_tabu,0,1046.0,60.01207578400499,1085.0,0.0,4000,,7,15.018016038986389,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,60.0,ga_tabu,0,1041.0,60.237163812998915,1085.0,0.0,,1,9,,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,120.0,alns,0,1196.0,120.00339982801233,1217.0,0.0,13332,,,,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,120.0,alns_tabu,0,1189.0,120.00166984800308,1217.0,0.0,8768,,15,29.98318589302653,
30x30,30,30,60,4,85,CMP_s300002_M30_N30_G4,2,300002,120.0,ga_tabu,0,1184.0,120.2262124169938,1217.0,0.0,,2,22,,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,10.0,alns,0,802.0,10.019582202003221,806.0,0.0,779,,,,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,10.0,alns_tabu,0,800.0,10.00318985299964,806.0,0.0,602,,2,2.521559064014582,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,10.0,ga_tabu,0,798.0,10.193842897002469,806.0,0.0,,1,2,,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,60.0,alns,0,827.0,60.00151242899301,849.0,0.0,5884,,,,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,60.0,alns_tabu,0,821.0,60.00287593099347,849.0,0.0,3938,,9,14.985832593971281,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,60.0,ga_tabu,0,816.0,60.201769866995164,849.0,0.0,,1,8,,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,120.0,alns,0,1048.0,120.00134073400113,1085.0,0.0,10910,,,,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,120.0,alns_tabu,0,1046.0,120.00066920799145,1085.0,0.0,8692,,15,29.936498504015617,
30x30,30,30,60,5,78,CMP_s300003_M30_N30_G5,3,300003,120.0,ga_tabu,0,1036.0,120.15270060799958,1085.0,0.0,,2,19,,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,10.0,alns,0,612.0,10.001958555003512,630.0,0.0,948,,,,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,10.0,alns_tabu,0,612.0,10.007903509002062,630.0,0.0,710,,2,2.503253123999457,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,10.0,ga_tabu,0,606.0,10.137674049998168,630.0,0.0,,1,2,,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,60.0,alns,0,799.0,60.00081110600149,806.0,0.0,6041,,,,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,60.0,alns_tabu,0,800.0,60.01040808399557,806.0,0.0,4674,,9,14.992593955015764,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,60.0,ga_tabu,0,798.0,60.125603936001426,806.0,0.0,,1,10,,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,120.0,alns,0,827.0,120.00190028701036,849.0,0.0,11068,,,,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,120.0,alns_tabu,0,816.0,120.00124678199063,849.0,0.0,9798,,14,29.955255301028956,
30x30,30,30,60,6,58,CMP_s300004_M30_N30_G6,4,300004,120.0,ga_tabu,0,815.0,120.14699669399124,849.0,0.0,,2,20,,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,10.0,alns,0,507.0,10.0041972839972,513.0,0.0,1066,,,,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,10.0,alns_tabu,0,505.0,10.002626282002893,513.0,0.0,688,,2,2.5169136919867015,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,10.0,ga_tabu,0,500.0,10.337748179998016,513.0,0.0,,1,2,,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,60.0,alns,0,612.0,60.00567384799069,630.0,0.0,5698,,,,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,60.0,alns_tabu,0,610.0,60.002467293001246,630.0,0.0,4284,,8,14.985033553981339,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,60.0,ga_tabu,0,606.0,60.239276963999146,630.0,0.0,,1,9,,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,120.0,alns,0,800.0,120.00772759699612,806.0,0.0,12045,,,,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,120.0,alns_tabu,0,799.0,120.00093082401145,806.0,0.0,8837,,16,29.9987974090036,
30x30,30,30,60,7,56,CMP_s300005_M30_N30_G7,5,300005,120.0,ga_tabu,0,798.0,120.26538979398902,806.0,0.0,,2,20,,
30x30,30,30,60,10,39,CMP_s300008_M30_N30_G10,8,300008,10.0,alns,0,559.0,10.00063142098952,565.0,0.0,1035,,,,
30x30,30,30,60,10,39,CMP_s300008_M30_N30_G10,8,300008,10.0,alns_tabu,0,559.0,10.002260250999825,565.0,0.0,719,,2,2.5254797539964784,
30x30,30,30,60,10,39,CMP_s300008_M30_N30_G10,8,300008,10.0,ga_tabu,0,559.0,10.15511999798764,565.0,0.0,,1,2,,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,60.0,alns,0,504.0,60.00187578800251,513.0,0.0,5415,,,,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,60.0,alns_tabu,0,498.0,60.0022199540108,513.0,0.0,4008,,8,15.018660824018298,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,60.0,ga_tabu,0,500.0,60.19882512600452,513.0,0.0,,1,9,,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,120.0,alns,0,611.0,120.01376705800067,630.0,0.0,11297,,,,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,120.0,alns_tabu,0,605.0,120.02326230700419,630.0,0.0,9081,,15,29.9469830620219,
30x30,30,30,60,8,46,CMP_s300006_M30_N30_G8,6,300006,120.0,ga_tabu,0,604.0,120.16386180999689,630.0,0.0,,2,16,,
30x30,30,30,60,2,177,CMP_s300009_M30_N30_G2,9,300009,10.0,alns,0,2541.0,10.000803796006949,2611.0,0.0,1164,,,,
30x30,30,30,60,2,177,CMP_s300009_M30_N30_G2,9,300009,10.0,alns_tabu,0,2504.0,10.018253823000123,2611.0,0.0,1037,,2,2.5227512150013354,
30x30,30,30,60,2,177,CMP_s300009_M30_N30_G2,9,300009,10.0,ga_tabu,0,2486.0,10.074187502003042,2611.0,0.0,,1,3,,
30x30,30,30,60,10,39,CMP_s300008_M30_N30_G10,8,300008,60.0,alns,0,559.0,60.004005366005,565.0,0.0,4848,,,,
30x30,30,30,60,10,39,CMP_s300008_M30_N30_G10,8,300008,60.0,alns_tabu,0,559.0,60.00446813699091,565.0,0.0,3586,,7,14.973885813014931,
30x30,30,30,60,10,39,CMP_s300008_M30_N30_G10,8,300008,60.0,ga_tabu,0,559.0,60.13296012399951,565.0,0.0,,1,8,,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,120.0,alns,0,500.0,120.00021957499848,513.0,0.0,10721,,,,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,120.0,alns_tabu,0,502.0,120.0170212410012,513.0,0.0,7884,,15,30.04667825999786,
30x30,30,30,60,9,37,CMP_s300007_M30_N30_G9,7,300007,120.0,ga_tabu,0,499.0,120.1855818269978,513.0,0.0,,2,16,,
50x50,50,50,100,2,296,CMP_s500000_M50_N50_G2,0,500000,10.0,alns,0,6871.0,10.005224149004789,6990.0,0.0,553,,,,
50x50,50,50,100,2,296,CMP_s500000_M50_N50_G2,0,500000,10.0,alns_tabu,0,6800.0,10.0068167700083,6990.0,0.0,404,,1,2.646855314000277,
50x50,50,50,100,2,296,CMP_s500000_M50_N50_G2,0,500000,10.0,ga_tabu,0,6679.0,10.208823558990844,6990.0,0.0,,1,1,,
30x30,30,30,60,2,177,CMP_s300009_M30_N30_G2,9,300009,60.0,alns,0,2485.0,60.000438363989815,2611.0,0.0,8101,,,,
30x30,30,30,60,2,177,CMP_s300009_M30_N30_G2,9,300009,60.0,alns_tabu,0,2470.0,60.00082394700439,2611.0,0.0,6452,,13,14.99448385402502,
